trade_date,open,close,high,low,volume
2026-01-20,82.78,86.25,86.5,79.56,182219924
2026-01-21,78.68,79.26,79.62,78.15,106074512
2026-01-22,78.63,83.12,83.2,74.97,309917600
2026-01-23,84.4,85.61,88.08,82.7,245141254
2026-01-26,80.57,82.53,84.0,77.66,202630480
2026-01-27,81.5,83.06,84.32,80.5,136836152
2026-01-28,81.59,85.58,85.91,79.44,136108097
2026-01-29,83.23,86.48,87.45,80.57,141512202
2026-01-30,79.1,82.73,83.73,76.59,320065252
2026-02-02,80.85,82.3,83.85,79.21,145071043
2026-02-03,81.35,83.25,84.71,78.81,192828071
2026-02-04,82.3,83.53,84.93,80.41,283654846
2026-02-05,80.14,81.45,81.9,79.44,178071632
2026-02-06,76.74,80.77,81.31,72.86,95398936
2026-02-09,81.02,83.5,83.85,78.95,122962335
2026-02-10,80.91,84.57,85.68,78.78,164106527
2026-02-11,81.32,85.1,84.2,78.94,123884977
2026-02-12,80.36,82.68,82.83,78.23,247026209
2026-02-13,77.04,79.57,78.96,75.79,166365670
2026-02-16,75.82,78.06,78.62,74.4,187986614
2026-02-17,77.6,79.37,79.62,76.76,185799298
2026-02-18,76.09,79.27,79.8,74.88,237638940
2026-02-19,79.55,82.29,81.88,77.92,282231445
2026-02-20,77.46,78.27,78.38,76.91,237209609
2026-02-23,79.4,81.34,81.94,77.84,225621856
2026-02-24,76.41,78.6,79.68,75.13,295948350
2026-02-25,75.84,79.91,79.23,73.5,269671526
2026-02-26,78.91,81.06,81.2,77.79,231153488
2026-02-27,78.85,79.57,79.78,78.53,247996875
2026-03-02,79.21,80.73,82.96,77.11,218584701
2026-03-03,78.31,81.52,80.83,76.5,68724345
2026-03-04,77.71,78.55,79.63,76.7,175503378
2026-03-05,76.19,77.5,79.97,74.67,279790676
2026-03-06,76.38,77.27,78.06,74.95,157904786
2026-03-09,73.78,75.28,75.46,73.27,256450704
2026-03-10,76.2,77.07,77.56,75.43,182505853
